"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","MessageTag__c","Message__c","Message_de__c","Message_en__c","Message_fr__c","Message_it__c","Message_ja__c","SourceObjectId__c"
"a0JE0000004CVLlMAO","005E0000001em2EIAQ","0","a0JE0000004CVLl","2012-08-29 18:42:42","005E0000001em2EIAQ","2012-08-30 18:39:35","005E0000001em2EIAQ","2012-08-30 18:39:35","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000003apSnMAI"
"a0JE0000004CVY8MAO","005E0000001em2EIAQ","0","a0JE0000004CVY8","2012-08-29 21:01:26","005E0000001em2EIAQ","2012-12-17 18:39:33","005E0000001em2EIAQ","2012-12-17 18:39:33","{0} auto adds {1}","{0} auto adds {1}","","","","","","a0GE0000003apZFMAY"
"a0JE0000004CY6cMAG","005E0000001em2EIAQ","0","a0JE0000004CY6c","2012-08-30 18:38:31","005E0000001em2EIAQ","2013-02-10 20:02:44","005E0000001em2EIAQ","2013-02-10 20:02:44","","{0} requires {1}","","","","","","a0GE0000003autVMAQ"
"a0JE0000004CYxMMAW","005E0000001em2EIAQ","0","a0JE0000004CYxM","2012-08-31 09:13:34","005E0000001em2EIAQ","2012-11-07 21:36:15","005E0000001em2EIAQ","2012-11-07 21:36:15","","Select All of {0}","","","","","","a0GE0000003axB5MAI"
"a0JE0000004CchxMAC","005E0000001em2EIAQ","0","a0JE0000004Cchx","2012-09-04 23:02:50","005E0000001em2EIAQ","2012-09-04 23:02:50","005E0000001em2EIAQ","2012-09-04 23:02:50","{0} auto adds {1}","{0} auto adds {1}","","","","","","a0GE00000044HZBMA2"
"a0JE0000004CcjFMAS","005E0000001em2EIAQ","0","a0JE0000004CcjF","2012-09-05 00:02:41","005E0000001em2EIAQ","2012-09-06 19:29:43","005E0000001em2EIAQ","2012-09-06 19:29:43","{0} auto adds {1}","{0} auto adds {1}","","","","","","a0GE00000044HaIMAU"
"a0JE0000004Ce5zMAC","005E0000001em2EIAQ","0","a0JE0000004Ce5z","2012-09-05 18:01:44","005E0000001em2EIAQ","2012-09-05 21:03:42","005E0000001em2EIAQ","2012-09-05 21:03:42","{0} requires {1}","{0} requires {1}","","","","","","a0GE000000452cWMAQ"
"a0JE0000004CeH7MAK","005E0000001em2EIAQ","0","a0JE0000004CeH7","2012-09-05 20:04:37","005E0000001em2EIAQ","2012-09-24 23:30:03","005E0000001em2EIAQ","2012-09-24 23:30:03","{0} excludes {1}","{0} excludes {1}","","","","","","a0GE000000452kjMAA"
"a0JE0000004CeLxMAK","005E0000001em2EIAQ","0","a0JE0000004CeLx","2012-09-05 20:58:51","005E0000001em2EIAQ","2012-09-05 21:01:21","005E0000001em2EIAQ","2012-09-05 21:01:21","{0} excludes {1}","{0} excludes {1}","","","","","","a0GE000000452rlMAA"
"a0JE0000004ChkhMAC","005E0000001em2EIAQ","0","a0JE0000004Chkh","2012-09-07 04:19:05","005E0000001em2EIAQ","2012-09-07 04:19:05","005E0000001em2EIAQ","2012-09-07 04:19:05","{0} auto adds {1}","{0} auto adds {1}","","","","","","a0GE00000045BMCMA2"
"a0JE0000004DYAnMAO","005E0000001em2EIAQ","0","a0JE0000004DYAn","2012-09-12 19:32:54","005E0000001em2EIAQ","2012-09-12 19:32:54","005E0000001em2EIAQ","2012-09-12 19:32:54","{0} auto adds {1}","{0} auto adds {1}","","","","","","a0GE00000045YUKMA2"
"a0JE0000004DgYwMAK","005E0000001em2EIAQ","0","a0JE0000004DgYw","2012-09-18 17:17:54","005E0000001em2EIAQ","2012-09-18 17:17:54","005E0000001em2EIAQ","2012-09-18 17:17:54","{0} disables {1}","{0} disables {1}","","","","","","a0GE00000045zzDMAQ"
"a0JE0000004Dgp9MAC","005E0000001em2EIAQ","0","a0JE0000004Dgp9","2012-09-18 19:27:23","005E0000001em2EIAQ","2012-09-18 19:27:23","005E0000001em2EIAQ","2012-09-18 19:27:23","{0} auto includes {1}","{0} auto includes {1}","","","","","","a0GE0000004606AMAQ"
"a0JE0000004DihAMAS","005E0000001em2EIAQ","0","a0JE0000004DihA","2012-09-19 23:41:54","005E0000001em2EIAQ","2012-09-19 23:59:56","005E0000001em2EIAQ","2012-09-19 23:59:56","","{0} requires {1}","","","","","","a0GE000000462UFMAY"
"a0JE0000004DpkrMAC","005E0000001em2EIAQ","0","a0JE0000004Dpkr","2012-09-25 00:22:47","005E0000001em2EIAQ","2012-12-18 02:17:45","005E0000001em2EIAQ","2012-12-18 02:17:45","{0} can have only one of {1}","{0} can have only one of {1}","","","","","","a0GE00000046QAVMA2"
"a0JE0000004DrR7MAK","005E0000001em2EIAQ","0","a0JE0000004DrR7","2012-09-25 21:48:50","005E0000001em2EIAQ","2012-09-25 23:40:42","005E0000001em2EIAQ","2012-09-25 23:40:42","You can have only one of {1}","You can have only one of {1}","","","","","","a0GE00000046SpqMAE"
"a0JE0000004DzNLMA0","005E0000001em2EIAQ","0","a0JE0000004DzNL","2012-10-01 16:53:49","005E0000001em2EIAQ","2012-10-01 16:53:49","005E0000001em2EIAQ","2012-10-01 16:53:49","{0} must have [1}","{0} must have [1}","","","","","","a0GE000000477wwMAA"
"a0JE0000004EmnxMAC","005E0000001em2EIAQ","0","a0JE0000004Emnx","2012-10-05 19:48:43","005E0000001em2EIAQ","2012-10-05 19:48:43","005E0000001em2EIAQ","2012-10-05 19:48:43","werwer","werwer","","","","","","a0GE00000047vNqMAI"
"a0JE0000004F44MMAS","005E0000001em2EIAQ","0","a0JE0000004F44M","2012-10-10 18:06:42","005E0000001em2EIAQ","2012-11-07 21:42:02","005E0000001em2EIAQ","2012-11-07 21:42:02","{0} can have only one of {1}","{0} can have only one of {1}","","","","","","a0GE0000004sSLPMA2"
"a0JE0000004Fn8QMAS","005E0000001em2EIAQ","0","a0JE0000004Fn8Q","2012-11-11 06:06:16","005E0000001em2EIAQ","2012-11-12 04:19:59","005E0000001em2EIAQ","2012-11-12 04:19:59","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000004vDqeMAE"
"a0JE0000004Fos0MAC","005E0000001em2EIAQ","0","a0JE0000004Fos0","2012-11-12 22:17:04","005E0000001em2EIAQ","2012-11-12 22:57:56","005E0000001em2EIAQ","2012-11-12 22:57:56","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000004vJcEMAU"
"a0JE0000004FzF5MAK","005E0000001em2EIAQ","0","a0JE0000004FzF5","2012-11-21 00:25:00","005E0000001em2EIAQ","2012-11-21 00:25:14","005E0000001em2EIAQ","2012-11-21 00:25:14","","{0} auto adds {1}","","","","","","a0GE0000005LnOzMAK"
"a0JE0000004FzG8MAK","005E0000001em2EIAQ","0","a0JE0000004FzG8","2012-11-21 00:38:42","005E0000001em2EIAQ","2012-11-21 00:38:42","005E0000001em2EIAQ","2012-11-21 00:38:42","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000005LnQbMAK"
"a0JE0000004G9f7MAC","005E0000001em2EIAQ","0","a0JE0000004G9f7","2012-11-26 22:07:48","005E0000001em2EIAQ","2012-11-26 22:07:48","005E0000001em2EIAQ","2012-11-26 22:07:48","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000005U7UBMA0"
"a0JE0000009dAIXMA2","005E0000001em2EIAQ","0","a0JE0000009dAIX","2012-12-08 19:52:04","005E0000001em2EIAQ","2012-12-08 19:52:14","005E0000001em2EIAQ","2012-12-08 19:52:14","{0} disabled {1}","{0} disables {1}","","","","","","a0GE0000005WIdrMAG"
"a0JE0000009f0tXMAQ","005E0000001em2EIAQ","0","a0JE0000009f0tX","2012-12-14 18:37:34","005E0000001em2EIAQ","2013-01-06 05:04:07","005E0000001em2EIAQ","2013-01-06 05:04:07","{0} requires at least two of {1}","{0} requires at least two of {1}","","","","","","a0GE0000005WolJMAS"
"a0JE0000009f8WtMAI","005E0000001em2EIAQ","0","a0JE0000009f8Wt","2012-12-19 01:39:37","005E0000001em2EIAQ","2012-12-19 01:42:19","005E0000001em2EIAQ","2012-12-19 01:42:19","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000005WtEYMA0"
"a0JE0000009fEq4MAE","005E0000001em2EIAQ","0","a0JE0000009fEq4","2012-12-21 19:16:03","005E0000001em2EIAQ","2012-12-21 19:16:03","005E0000001em2EIAQ","2012-12-21 19:16:03","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000005XAWjMAO"
"a0JE0000009fSi8MAE","005E0000001em2EIAQ","0","a0JE0000009fSi8","2013-01-06 05:06:59","005E0000001em2EIAQ","2013-01-06 05:06:59","005E0000001em2EIAQ","2013-01-06 05:06:59","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000006E6aGMAS"
"a0JE0000009fTEjMAM","005E0000001em2EIAQ","0","a0JE0000009fTEj","2013-01-07 08:17:28","005E0000001em2EIAQ","2013-01-09 01:23:24","005E0000001em2EIAQ","2013-01-09 01:23:24","{1} comes with {0} with a discount","{1} comes with {0} with a discount","","","","","","a0GE0000006E7UIMA0"
"a0JE0000009fmJ2MAI","005E0000001em2EIAQ","0","a0JE0000009fmJ2","2013-01-17 01:19:25","005E0000001em2EIAQ","2013-02-01 21:20:34","005E0000001em2EIAQ","2013-02-01 21:20:34","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000006EkzlMAC"
"a0JE0000009fwcYMAQ","005E0000001em2EIAQ","0","a0JE0000009fwcY","2013-01-23 23:12:22","005E0000001em2EIAQ","2013-01-23 23:12:22","005E0000001em2EIAQ","2013-01-23 23:12:22","{0} recommends {1}","{0} recommends {1}","","","","","","a0GE0000006F9QJMA0"
"a0JE0000009fwfMMAQ","005E0000001h3DhIAI","0","a0JE0000009fwfM","2013-01-24 01:26:31","005E0000001h3DhIAI","2013-01-24 01:26:31","005E0000001h3DhIAI","2013-01-24 01:26:31","","","","","","","","a0GE0000006F9hJMAS"
"a0JE0000009fwfwMAA","005E0000001em2EIAQ","0","a0JE0000009fwfw","2013-01-24 01:51:32","005E0000001em2EIAQ","2013-01-24 01:51:32","005E0000001em2EIAQ","2013-01-24 01:51:32","{0} adds {1}","{0} adds {1}","","","","","","a0GE0000006F9eOMAS"
"a0JE0000009fwhFMAQ","005E0000001h3DhIAI","0","a0JE0000009fwhF","2013-01-24 03:14:21","005E0000001h3DhIAI","2013-01-24 03:14:21","005E0000001h3DhIAI","2013-01-24 03:14:21","","","","","","","","a0GE0000006F9nFMAS"
"a0JE000000D87jvMAB","005E0000001em2EIAQ","0","a0JE000000D87jv","2013-01-29 19:40:05","005E0000001em2EIAQ","2013-02-28 07:18:03","005E0000001hSphIAE","2013-02-28 07:18:03","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000006FSLxMAO"
"a0JE000000D8LyeMAF","005E0000001em2EIAQ","0","a0JE000000D8Lye","2013-02-02 08:02:59","005E0000001em2EIAQ","2013-02-02 08:26:25","005E0000001em2EIAQ","2013-02-02 08:26:25","{0} cannot exceed quantity 20","{0} cannot exceed quantity 20","","","","","","a0GE0000006FgJdMAK"
"a0JE000000D8NF0MAN","005E0000001em2EIAQ","0","a0JE000000D8NF0","2013-02-04 00:30:30","005E0000001em2EIAQ","2013-02-04 00:30:30","005E0000001em2EIAQ","2013-02-04 00:30:30","{0} selects {1}","{0} selects {1}","","","","","","a0GE0000006FiRUMA0"
"a0JE000000D8eUGMAZ","005E0000001em2EIAQ","0","a0JE000000D8eUG","2013-02-08 11:53:39","005E0000001em2EIAQ","2013-02-08 11:53:56","005E0000001em2EIAQ","2013-02-08 11:53:56","","{0} requires {1}","","","","","","a0GE0000006GHjmMAG"
"a0JE000000D91dMMAR","005E0000001em2EIAQ","0","a0JE000000D91dM","2013-02-21 01:23:07","005E0000001em2EIAQ","2013-02-21 01:23:07","005E0000001em2EIAQ","2013-02-21 01:23:07","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000006H5UIMA0"
"a0JE000000D94SIMAZ","005E0000001em2EIAQ","0","a0JE000000D94SI","2013-02-22 00:10:09","005E0000001em2EIAQ","2013-02-22 00:10:42","005E0000001em2EIAQ","2013-02-22 00:10:42","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000006H9RGMA0"
"a0JE000000D94ZlMAJ","005E0000001em2EIAQ","0","a0JE000000D94Zl","2013-02-22 03:10:37","005E0000001em2EIAQ","2013-02-22 03:10:37","005E0000001em2EIAQ","2013-02-22 03:10:37","{0} requires {1}","{0} requires {1}","","","","","","a0GE0000006H9pSMAS"
"a0JE000000D97zAMAR","005E0000001em2EIAQ","0","a0JE000000D97zA","2013-02-23 19:30:53","005E0000001em2EIAQ","2013-02-23 19:33:56","005E0000001em2EIAQ","2013-02-23 19:33:56","Following products are not available","Following products are not available","","","","","","a0GE0000006HfddMAC"
"a0JE000000D982pMAB","005E0000001em2EIAQ","0","a0JE000000D982p","2013-02-23 21:11:07","005E0000001em2EIAQ","2013-02-24 08:55:40","005E0000001em2EIAQ","2013-02-24 08:55:40","Since you are including {0}, you could choose {1} for better price","Since you are including {0}, for a better price you could choose  {1}","","","","","","a0GE0000006I9pwMAC"
"a0JE000000D9EKPMA3","005E0000001em2EIAQ","0","a0JE000000D9EKP","2013-02-26 21:53:11","005E0000001em2EIAQ","2013-02-28 12:10:20","005E0000001em2EIAQ","2013-02-28 12:10:20","{0} is obsolete, please select 17R","{0} is obsolete, please select 17R","","","","","","a0GE00000079KSwMAM"
"a0JE000000D9HaCMAV","005E0000001em2EIAQ","0","a0JE000000D9HaC","2013-02-27 22:37:10","005E0000001em2EIAQ","2013-02-27 22:37:10","005E0000001em2EIAQ","2013-02-27 22:37:10","{0} requires {1}","{0} requires {1}","","","","","","a0GE00000079PaNMAU"
"a0JE000000D9HaMMAV","005E0000001em2EIAQ","0","a0JE000000D9HaM","2013-02-27 22:38:06","005E0000001em2EIAQ","2013-02-27 22:38:06","005E0000001em2EIAQ","2013-02-27 22:38:06","{0} requires {1}","{0} requires {1}","","","","","","a0GE00000079PbTMAU"
